,month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
,201910,37019,"brunswick, nc",352990.00,-0.0024,0.0932,1989,-5.00E-04,0.0751,100,-0.047619048,-0.099099099,428,0.0388,0.3375,40,-0.2308,-0.2857,392,0,0.1264,832,-0.0326,0.2664,170.190986,0.007,0.0657,2031,-0.009,0.026,428898.9699,0.0011,0.0424,2821,-0.0102,0.1252,0.418300654,-0.0139,0.0632,0
,201909,37019,"brunswick, nc",353832.50,0.0199,0.0438,1990,-0.033,0.0179,105,0.029411765,0.019417476,412,-0.0283,0.4714,52,0.1818,0.1818,392,-0.0577,0.3067,860,-0.037,0.063,169.0086392,0.0077,0.0283,2049.5,0.0103,0.0242,428424.2555,0.0168,0.004,2850,-0.0342,0.0311,0.432160804,-0.0018,0.0184,0
,201908,37019,"brunswick, nc",346922.86,0.0095,0.0213,2058,-0.0283,0.0625,102,0.0625,0.00990099,424,0.0291,-0.0619,44,0.5714,-0.3529,416,-0.0714,-0.0877,893,0.0206,0.0518,167.7165068,0.0049,0.0112,2028.571429,0.0138,0.014,421335.8901,0.0155,-0.016,2951,-0.014,0.0592,0.433916424,0.0208,-0.0044,0
,201907,37019,"brunswick, nc",343670.00,0.0158,0.0108,2118,-0.0089,0.0873,96,0.043478261,-0.04,412,-0.055,0.03,28,0.1667,-0.5625,448,-0.0261,-0.0667,875,0.0127,0.0234,166.9014568,0.0189,0.0038,2001,0.0025,0,414909.375,0.0141,-0.0322,2993,-0.0027,0.0678,0.41312559,0.0088,-0.0258,0
,201906,37019,"brunswick, nc",338325.00,0.0334,-0.002,2137,-0.0111,0.068,92,0.082352941,-0.021276596,436,-0.0992,0.0283,24,-0.3333,-0.6,460,0,-0.0417,864,-0.0421,-0.0516,163.7989367,-0.0028,0.0081,1996,0.0109,-0.0025,409135.4351,0.0164,-0.0425,3001,-0.0202,0.0306,0.404305101,-0.0131,-0.051,0
,201905,37019,"brunswick, nc",327388.50,0.0255,0.0073,2161,0.0019,0.049,85,0.06918239,-0.028571429,484,-0.062,0.0342,36,-0.5263,-0.1818,460,0.2234,-0.0086,902,0.1095,-0.0022,164.26049,0.0142,0.0184,1974.5,0.0149,-0.0115,402549.0669,0.0182,-0.035,3063,0.0313,0.0334,0.417399352,0.0405,-0.0214,0
,201904,37019,"brunswick, nc",319250.00,0.0172,-0.0014,2157,0.0769,0.0345,79.5,-0.205,-0.116666667,516,0.0078,0.084,76,-0.0952,0.2667,376,0.0805,-0.2101,813,0.0545,-0.1056,161.9625858,0.0175,0.0231,1945.5,0.0117,-0.0172,395345.1395,0.0081,-0.0401,2970,0.0707,-0.008,0.376912378,-0.008,-0.0591,0
,201903,37019,"brunswick, nc",313851.43,0.0062,0.0157,2003,0.0711,-0.0281,100,-0.078341014,-0.130434783,512,0.024,-0.0519,84,-0.125,1.3333,348,0.2083,0.0235,771,0.1473,-0.1278,159.1747139,0.0101,0.0242,1923,0.0116,-0.0209,392185.233,-2.00E-04,-0.0219,2774,0.0913,-0.0581,0.384922616,0.0256,-0.044,0
,201902,37019,"brunswick, nc",311915.00,-0.0187,0.0421,1870,0.0583,-0.0775,108.5,-0.174904943,-0.095833333,500,0.3298,0.0684,96,0.3333,1.4,288,0.0141,-0.1,672,0.2376,-0.0769,157.5870115,-0.0017,0.0388,1901,-0.0058,-0.0181,392257.8797,-0.0111,-0.0017,2542,0.1004,-0.0773,0.359358289,0.0521,2.00E-04,0
,201901,37019,"brunswick, nc",317859.00,0.0094,0.0606,1767,-0.0302,-0.0994,131.5,0.08677686,0.073469388,376,0.403,-0.06,72,0.125,0.2,284,0.2241,-0.0658,543,-0.075,-0.104,157.8488891,0.0054,0.0444,1912,-0.0062,-0.0217,396673.4315,-0.0104,-0.0034,2310,-0.0411,-0.1005,0.307300509,-0.0149,-0.0016,0
,201812,37019,"brunswick, nc",314900.00,-0.0142,0.05,1822,-0.0071,-0.1138,121,0.056768559,-0.008196721,268,-0.1728,0.1167,64,0.6,0.1429,232,-0.3626,-0.275,587,-0.1011,-0.0842,157.0048309,-0.0025,0.0262,1924,-0.0123,-0.0164,400824.8648,-0.0153,-0.0046,2409,-0.0318,-0.1068,0.322173436,-0.0337,0.0104,0
,201811,37019,"brunswick, nc",319437.50,-0.0107,0.0337,1835,-0.0081,-0.1401,114.5,0.031531532,0,324,0.0125,-0.129,40,-0.2857,0.25,364,0.046,0,653,-0.0061,-0.0751,157.391332,-0.0144,0.0319,1948,-0.0159,-0.0152,407059.2242,-0.0107,0.0024,2488,-0.0076,-0.1239,0.355858311,7.00E-04,0.025,0
,201810,37019,"brunswick, nc",322900.00,-0.0475,0.0393,1850,-0.0537,-0.1395,111,0.077669903,-0.004484305,320,0.1429,-0.2157,56,0.2727,0.0769,348,0.16,-0.1869,657,-0.1879,-0.1355,159.6932624,-0.0284,0.047,1979.5,-0.0107,-3.00E-04,411460.9197,-0.0358,0.0103,2507,-0.093,-0.1385,0.355135135,-0.0587,0.0016,0
,201809,37019,"brunswick, nc",339000.00,-0.0021,0.1,1955,0.0093,-0.1073,103,0.01980198,-0.11965812,280,-0.3805,-0.3694,44,-0.3529,-0.3889,300,-0.3421,-0.4231,809,-0.0471,-0.0086,164.3535427,-0.0091,0.0809,2001,2.00E-04,0.0106,426718.9684,-0.0034,0.0556,2764,-0.0079,-0.0805,0.413810742,-0.0245,0.0412,0
,201808,37019,"brunswick, nc",339700.00,-9.00E-04,0.0994,1937,-0.0056,-0.1155,101,0.01,-0.136752137,452,0.13,0.13,68,0.0625,0.0625,456,-0.05,-0.0339,849,-0.007,-0.0608,165.8657513,-0.0024,0.0999,2000.5,-2.00E-04,0.0228,428187.6822,-0.0012,0.0674,2786,-0.0061,-0.0995,0.43830666,-6.00E-04,0.0255,0
,201807,37019,"brunswick, nc",340000.00,0.0029,0.0866,1948,-0.0265,-0.1392,100,0.063829787,-0.090909091,400,-0.0566,0,64,0.0667,-0.1579,480,0,0.0256,855,-0.0615,-0.0707,166.2650602,0.0233,0.095,2001,0,0.0262,428713.8405,0.0033,0.0648,2803,-0.0374,-0.1194,0.438911704,-0.0164,0.0324,0
,201806,37019,"brunswick, nc",339000.00,0.0431,0.115,2001,-0.0286,-0.1394,94,0.074285714,-0.078431373,424,-0.094,0.0095,60,0.3636,0,480,0.0345,-0.0769,911,0.0077,-0.0599,162.475,0.0074,0.0746,2001,0.0018,0.0379,427305.087,0.0244,0.0758,2912,-0.0175,-0.116,0.455272364,0.0164,0.0385,0
,201805,37019,"brunswick, nc",325000.00,0.0166,0.0835,2060,-0.012,-0.142,87.5,-0.027777778,-0.069148936,468,-0.0168,-0.0565,44,-0.2667,-0.3889,464,-0.0252,-0.0492,904,-0.0055,-0.0044,161.285117,0.0188,0.0693,1997.5,0.0091,0.0406,417142.2013,0.0128,0.0575,2964,-0.01,-0.1043,0.438834951,0.0029,0.0607,0
,201804,37019,"brunswick, nc",319700.00,0.0346,0.0804,2085,0.0116,-0.1476,90,-0.217391304,0.011235955,476,-0.1185,0.0259,60,0.6667,0.0714,476,0.4,-0.1119,909,0.0283,0.0757,158.3015732,0.0186,0.0698,1979.5,0.0079,0.0418,411851.0279,0.0272,0.0626,2994,0.0166,-0.0902,0.435971223,0.0071,0.0905,0
,201803,37019,"brunswick, nc",309000.00,0.0323,0.0659,2061,0.0168,-0.1402,115,-0.041666667,0.079812207,540,0.1538,-0.0074,36,-0.1,-0.25,340,0.0625,-0.2478,884,0.2143,0.1247,155.4136591,0.0244,0.0647,1964,0.0145,0.0441,400964.2948,0.0204,0.0719,2945,0.069,-0.0748,0.428918001,0.0698,0.101,0
,201802,37019,"brunswick, nc",299320.00,-0.0013,0.0496,2027,0.0331,-0.1285,120,-0.020408163,-0.036144578,468,0.17,-0.1761,40,-0.3333,-0.4737,320,0.0526,-0.2593,728,0.2013,0.1501,151.7057839,0.0037,0.0459,1936,-0.0095,0.0519,392943.6807,-0.0128,0.0777,2755,0.0728,-0.0689,0.359151455,0.0503,0.087,0
,201801,37019,"brunswick, nc",299700.00,-7.00E-04,0.0246,1962,-0.0457,-0.0983,122.5,0.004098361,-0.125,400,0.6667,-0.1379,60,0.0714,0,304,-0.05,-0.0617,606,-0.0546,0.1631,151.1405079,-0.0121,0.0368,1954.5,-8.00E-04,0.0548,398035.6912,-0.0116,0.0846,2568,-0.0478,-0.0478,0.308868502,-0.0029,0.0694,0
,201712,37019,"brunswick, nc",299900.00,-0.0295,0.0013,2056,-0.0366,-0.0714,122,0.065502183,-0.128571429,240,-0.3548,0.1111,56,0.75,1.8,320,-0.1209,0.3115,641,-0.0921,0.0683,152.9960053,0.0031,0.0161,1956,-0.0111,0.0289,402687.0159,-0.0083,0.063,2697,-0.0504,-0.0416,0.311770428,-0.0191,0.0408,0
,201711,37019,"brunswick, nc",309008.50,-0.0054,0.0335,2134,-0.0074,-0.0798,114.5,0.02690583,-0.129277567,372,-0.0882,0.0941,32,-0.3846,0.3333,364,-0.1495,0.5965,706,-0.0711,0.0713,152.5240678,0,0.0235,1978,-0.001,0.0405,406073.0363,-0.0029,0.0753,2840,-0.0241,-0.0463,0.330834114,-0.0227,0.0467,0
,201710,37019,"brunswick, nc",310700.00,0.0082,0.036,2150,-0.0183,-0.1068,111.5,-0.047008547,-0.142307692,408,-0.0811,0.3247,52,-0.2778,0.0833,428,-0.1769,0.1889,760,-0.0686,0.0256,152.51935,0.0031,0.0195,1980,0,0.0356,407246.4106,0.0075,0.0692,2910,-0.0319,-0.0756,0.353488372,-0.0191,0.0456,0
,201709,37019,"brunswick, nc",308174.00,-0.0027,0.8689,2190,0,-0.5538,117,0,-0.351800554,444,0.11,-0.0672,72,0.125,2.6,520,0.1017,0.3265,816,-0.0973,-0.142,152.0463847,0.0083,0.0125,1980,0.0123,0.0296,404232.2289,0.0077,0.6116,3006,-0.0284,-0.4869,0.37260274,-0.0402,0.1788,1
,201708,37019,"brunswick, nc",309000.00,-0.0125,0.03,2190,-0.0323,-0.1313,117,0.063636364,-0.029045643,400,0,0.0204,64,-0.1579,2.2,472,0.0085,0.0085,904,-0.0174,0.1531,150.8019871,-0.0069,0.0062,1956,0.0031,0.0116,401139.135,-0.0037,0.0479,3094,-0.028,-0.0638,0.412785388,0.0062,0.1018,0
,201707,37019,"brunswick, nc",312900.00,0.0291,0.0433,2263,-0.0267,-0.1069,110,0.078431373,-0.035087719,400,-0.0476,-0.0654,76,0.2667,1.1111,468,-0.1,0.0734,920,-0.0506,0.1871,151.843318,0.0043,0.0195,1950,0.0114,0.0114,402629.387,0.0137,0.0579,3183,-0.0337,-0.0381,0.406539991,-0.0102,0.1007,0
,201706,37019,"brunswick, nc",304037.50,,,2325,,,102,,,420,,,60,,,520,,,969,,,151.1993155,,,1928,,,397185.0209,,,3294,,,0.416774194,,,0
,201705,37019,"brunswick, nc",299949.50,,,2401,,,94,,,496,,,72,,,488,,,908,,,150.8300014,,,1919.5,,,394453.8651,,,3309,,,0.37817576,,,0
,201704,37019,"brunswick, nc",295900.00,,,2446,,,89,,,464,,,56,,,536,,,845,,,147.9743083,,,1900,,,387600.066,,,3291,,,0.345461979,,,0
,201703,37019,"brunswick, nc",289900.00,,,2397,,,106.5,,,544,,,48,,,452,,,786,,,145.9679425,,,1881,,,374063.3252,,,3183,,,0.327909887,,,0
,201702,37019,"brunswick, nc",285172.00,,,2326,,,124.5,,,568,,,76,,,432,,,633,,,145.0512689,,,1840.5,,,364600.5721,,,2959,,,0.272141015,,,0
,201701,37019,"brunswick, nc",292500.00,,,2176,,,140,,,464,,,60,,,324,,,521,,,145.7792319,,,1853,,,366996.0667,,,2697,,,0.239430147,,,0
,201612,37019,"brunswick, nc",299500.00,,,2214,,,140,,,216,,,20,,,244,,,600,,,150.5764796,,,1901,,,378833.856,,,2814,,,0.27100271,,,0
,201611,37019,"brunswick, nc",299000.00,,,2319,,,131.5,,,340,,,24,,,228,,,659,,,149.0278731,,,1901,,,377623.4674,,,2978,,,0.284174213,,,0
,201610,37019,"brunswick, nc",299900.00,,,2407,,,130,,,308,,,48,,,360,,,741,,,149.609375,,,1912,,,380894.0282,,,3148,,,0.307852098,,,0
,201609,37019,"brunswick, nc",164900.00,,,4908,,,180.5,,,476,,,20,,,392,,,951,,,150.1652148,,,1923,,,250830.097,,,5859,,,0.193765281,,,0
,201608,37019,"brunswick, nc",299999.00,,,2521,,,120.5,,,392,,,20,,,468,,,784,,,149.8685711,,,1933.5,,,382787.6083,,,3305,,,0.310987703,,,0
,201607,37019,"brunswick, nc",299900.00,,,2534,,,114,,,428,,,36,,,436,,,775,,,148.9420799,,,1928,,,380606.1298,,,3309,,,0.305840568,,,0
,202111,37129,"new hanover, nc",499000.00,0.0871,0.2292,385,-0.1756,-0.5139,53.5,0.163043478,-0.053097345,248,-0.225,-0.253,48,0.3333,1.4,76,-0.4412,-0.6275,878,0.0127,-0.1467,235.1360268,0.0691,0.2025,2007,-0.0171,-0.0672,727473.763,0.0707,0.058,1263,-0.0532,-0.3064,2.280519481,0.424,0.9813,0
,202110,37129,"new hanover, nc",459000.00,0.0578,0.106,467,-0.0189,-0.4277,46,0.082352941,-0.178571429,320,-0.0244,-0.1579,36,0.8,-0.5263,136,-0.1053,-0.3929,867,-0.0377,-0.2252,219.941349,0.0149,0.1485,2042,-0.002,-0.0884,679431.8926,0.0222,0.0034,1334,-0.0312,-0.3106,1.856531049,-0.0363,0.4852,0
,202109,37129,"new hanover, nc",433900.00,0.0057,0.085,476,0.0042,-0.4465,42.5,0.118421053,-0.247787611,328,-0.0787,-0.1458,20,-0.2857,-0.5455,152,0.0857,-0.377,901,-0.0917,-0.1991,216.7189783,0.0092,0.1523,2046,-0.0397,-0.0746,664684.7612,-0.0064,0.0252,1377,-0.0607,-0.3063,1.892857143,-0.2,0.5847,0
,202108,37129,"new hanover, nc",431450.00,-0.0348,0.1164,474,0.0464,-0.4774,38,0,-0.415384615,356,-0.11,-0.1682,28,0.1667,-0.5333,140,0.0294,-0.3966,992,-0.0397,-0.0941,214.7495362,-0.0106,0.1655,2130.5,0.0031,-0.0196,668953.4444,-0.0579,0.0532,1466,-0.0135,-0.2677,2.092827004,-0.1875,0.8856,0
,202107,37129,"new hanover, nc",447000.00,0.0518,0.1629,453,0.0462,-0.5296,38,0,-0.479452055,400,0.0204,0.0204,24,0,-0.7,136,0.1724,-0.4848,1033,-0.0514,-0.0417,217.0433809,0.0273,0.2047,2124,0.0463,-0.04,710029.0266,-0.0172,0.1437,1486,-0.0237,-0.2719,2.280353201,-0.2347,1.1609,0
,202106,37129,"new hanover, nc",425000.00,2.00E-04,0.0982,433,0.1703,-0.5919,38,-0.136363636,-0.530864198,392,0.0316,-0.02,24,-0.3333,-0.4,116,0.8125,-0.5797,1089,-0.0251,-0.0091,211.2768328,0.0027,0.1697,2030,-0.0078,-0.085,722485.4536,-0.021,0.1834,1522,0.0235,-0.2954,2.515011547,-0.5039,1.4792,0
,202105,37129,"new hanover, nc",424900.00,-0.0346,0.0951,370,-0.0561,-0.7021,44,-0.032967033,-0.397260274,380,0.1176,-0.1121,36,0,0,64,-0.0588,-0.7714,1117,-0.021,0.2194,210.7113317,-0.0379,0.1712,2046,-0.0367,-0.0742,737973.7688,0.0082,0.2241,1487,-0.03,-0.3109,3.018918919,0.1082,2.2814,0
,202104,37129,"new hanover, nc",440147.50,0.0281,0.1315,392,0.0103,-0.6851,45.5,0.02247191,-0.305343511,340,0.0366,0.0494,36,-0.25,0.2857,68,-0.0556,-0.6909,1141,0.0115,0.3648,219.0231531,0.0468,0.2161,2124,-0.0019,-0.0257,731938.0048,-0.036,0.2126,1533,0.0112,-0.2633,2.910714286,0.0035,2.2392,0
,202103,37129,"new hanover, nc",428125.00,0.019,0.0798,388,-0.1281,-0.6712,44.5,-0.402684564,-0.320610687,328,0.1884,-0.3333,48,-0.0769,0.5,72,0.125,-0.7273,1128,0.0301,0.1677,209.2255413,0.0244,0.1615,2128,-0.038,-0.0504,759241.6536,-0.0284,0.238,1516,-0.0156,-0.2936,2.907216495,0.4465,2.0886,0
,202102,37129,"new hanover, nc",420125.00,0.0786,0.1059,445,-0.2857,-0.6055,74.5,-0.019736842,-0.153409091,276,0.1897,-0.3551,52,-0.35,0.3,64,-0.3846,-0.75,1095,0.2718,0.1736,204.2385676,0.0391,0.154,2212,0.0543,0.0045,781411.0515,0.1111,0.3431,1540,0.0377,-0.2528,2.460674157,1.0787,1.6335,0
,202101,37129,"new hanover, nc",389500.00,-0.0133,0.0319,623,-0.1759,-0.4657,76,0.216,-0.173913043,232,-0.2468,-0.4082,80,2.3333,0.6667,104,-0.2778,-0.5938,861,-0.0621,0.2059,196.5517241,0.0344,0.1311,2098,-0.0249,-0.0376,703280.8816,0.0335,0.2317,1484,-0.1135,-0.2106,1.382022472,0.1677,0.7697,0
